Index,Dialogue_Group,Context_Index,Context_CharacterName,Context_Text,Context_Sprite,Dialogue_Action,Dialogue_FadeSpeed,Choice_Group,Dialogue_Type,Dialogue_Skip
57,Prologue_GiftOpen,35,나레이터,ⓦ람이 된 인형은 깡총 뛰어다니며\ 아이의 주변을 맴돌았어요.,,FadeOut,1,,Narration,
58,Prologue_GiftOpen,,,ⓦ아이는 자신의 첫 친구에게 환히 웃어보였답니다.,,,1,,,
59,Day1_WakeUp,1,주인공,마녀님\ 좋은 아침이에요! 람도 좋은 아침이야!,Child_A,,1,,ContextUp,
60,Day1_WakeUp,2,마녀,그래\ 좋은 아침이구나.,Witch_Idle,,1,,,
61,Day1_WakeUp,3,람,좋은 아침! 아침! 좋아!,,,1,,,
62,Day1_WakeUp,4,주인공,헉\ 방금 람이 말한 거예요? 람\ 네가 말한 거야?,Child_A,,1,,,
63,Day1_WakeUp,5,람,나\ 말한다! 아침 좋아!,,,1,,,
64,Day1_WakeUp,6,주인공,응\ 응! 좋은 아침이야! 언제부터 말할 수 있게 된 거야?,Child_A,,1,,,
65,Day1_WakeUp,,,어제는 분명 못 말했던 것 같은데….,,,1,,,
66,Day1_WakeUp,7,람,잔다\ 일어난다! 성장! 말한다!,,,1,,,
67,Day1_WakeUp,8,마녀,자고 일어나니 말할 수 있게 되었나 보구나.,Witch_Idle,,1,,,
68,Day1_WakeUp,9,주인공,우와\ 정말 신기해요!,Child_A,,1,,,
69,Day1_WakeUp,10,람,나\ 신기하다? 대단하다!,,,1,,,
70,Day1_WakeUp,11,주인공,맞아\ 람 너는 대단해!,Child_A,,1,,,
71,Day1_WakeUp,12,마녀,후후\ 대화는 이쯤하고 식사하렴. 샐러드를 준비해두었단다.,Witch_Idle,,1,,,
72,Day1_WakeUp,13,주인공,혹시 연어 샐러드인가요?,Child_B,,1,,,
73,Day1_WakeUp,14,마녀,아쉽지만 연어는 넣지 않았단다. 연어가 먹고 싶니?,Witch_Idle,,1,,,
74,Day1_WakeUp,15,주인공,네…. 오늘은 꿈에서 연어 스테이크를 먹었거든요.,Child_B,,1,,,
75,Day1_WakeUp,16,람,연어\ 만든다. 먹는다! 가능!,,,1,,,
76,Day1_WakeUp,17,주인공,응? 그게 무슨 소리야\ 람?,Child_A,,1,,,
77,Day1_WakeUp,18,마녀,흐음… 그래\ 네가 만들어보는 것도 좋겠구나. 요리해보겠니?,Witch_Idle,,1,,,
78,Day1_WakeUp,19,주인공,네? 제가요?! 제가 그래도 될까요?,Child_A,,1,,,
79,Day1_WakeUp,20,마녀,그럼\ 물론이지. 다 큰 숙녀라면 뭐든 다 할 수 있단다.,Witch_Idle,,1,,,
80,Day1_WakeUp,21,주인공,와아\ 좋아요! 요리해볼게요! 그러니까\ 음….,Child_B,,1,,,
81,Day1_WakeUp,22,마녀,이리 오렴.,Witch_Idle,,1,,,
82,Day1_Morning,1,마녀,이 물체와 상호작용하면 여러 가지 물건을 만들 수 있다는 건 알고 있지?,,,1,,,
83,Day1_Morning,2,주인공,네\ 그럼요! 음식도 만들 수 있고\ 포션도 만들 수 있고\ 또….,Child_D,,1,,,
84,Day1_Morning,3,마녀,후후\ 그래. 이 물체는 마녀라면 누구나 다 다룰 수 있는 것이란다.,Witch_Idle,,1,,,
85,Day1_Morning,,,이젠 너에게도 사용법을 알려주마.,,,1,,,
86,Day1_Morning,4,주인공,너무 좋아요!,Child_A,,1,,,
87,Day1_Morning,5,마녀,물체와 상호작용하면\ 무지개처럼 둥근 빛이 나타날 거야.,Witch_Idle,,1,,,
88,Day1_Morning,,,네모난 빛이 특정한 위치로 향할 때\ 지팡이를 휘두르면 된단다.,,,1,,,
89,Day1_Morning,6,주인공,으음\ 잘 모르겠어요….,Child_B,,1,,,
90,Day1_Morning,7,마녀,후후\ 직접 해보면 알게 될 거란다. 이번엔 내가 도와주마.,Witch_Idle,,1,,,
91,Day1_Morning,8,나레이터,마녀와 아이는 맛있는 연어 샐러드를 만들었어요. 람도 먹고 싶다고 말했지만\ 인형은 음식을 먹을 수 없다는 이유로 먹지 못했답니다.,,FadeOut,1,,Narration,
92,Day1_Morning,9,마녀,우리 숙녀님\ 아침을 먹었으니 할 일을 해야겠지?,Witch_Idle,FadeIn,1,,ContextUp,
93,Day1_Morning,10,주인공,할 일이요? 음\ 으음… 오늘 해야 하는 게 있었나요?,Child_B,,1,,,
94,Day1_Morning,11,마녀,함께 편지를 확인해야 하지 않겠니?,Witch_Idle,,1,,,
95,Day1_Morning,12,주인공,헉\ 정말요? 오늘도 같이 편지 읽는 거예요?,Child_A,,1,,,
96,Day1_Morning,13,마녀,그럼. 너도 다 컸다고 했잖니. 어제도 함께 편지를 읽었고 말이야.,Witch_Idle,,1,,,
97,Day1_Morning,,,자\ 가서 편지를 가져오렴. 함께 읽자꾸나.,,,1,,,
98,Day1_LetterGet,1,마녀,편지를 다 가져온 것 같구나. 네가 원하는 편지를 먼저 꺼내 보렴.,Witch_Idle,,1,,,
99,Day1_Oriental,1,마녀,ⓞ고요한 아침의 나라ⓑ에서 온 편지구나.,Witch_Idle,,1,,,
100,Day1_Oriental,2,주인공,고요한 아침의 나라요?,Child_A,,1,,,
101,Day1_Oriental,3,마녀,그래. 어른아이 할 것 없이 공손함을 내세우는 나라란다. 한 번 읽어보겠니?,Witch_Idle,,1,,,어린 세자가 달콤하고 텁텁하지 않은 음식을 원하고 있다. 어떤 음식을 만들어야 할까?
102,Day1_Oriental,4,세자,내 나이 올해로 13세의 봄을 넘겼습니다.,,,1,,Letter,
103,Day1_Oriental,,,아바마마께옵서 나를 걱정하시어 반과상을 금하셨으니\ 내 입을 달래줄 것이 없어 허합니다.,,,1,,,
104,Day1_Oriental,,,남모르게 반과상을 차려줄 수 있겠습니까. 달콤하고 텁텁하지 않은 것이 그립습니다.,,,1,,,
105,Day1_Oriental,5,주인공,으음… 반과상이 무슨 뜻인가요?,Child_B,,1,,ContextUp,
106,Day1_Oriental,6,람,나\ 안다! 간식이다!,,,1,,,
107,Day1_Oriental,7,마녀,틀린 말은 아니구나. 이 아이가 원하는 것은 달콤한 간식이란다.,Witch_Idle,,1,,,
108,Day1_Oriental,8,주인공,편지에는 항상 이렇게 어려운 말이 쓰여 있나요?,Child_B,,1,,,
109,Day1_Oriental,9,마녀,그리 어려운 말은 아니란다. 이 나라에선 흔히 사용하는 말이지.,Witch_Idle,,1,,,
110,Day1_Oriental,,,다만\ 그래. 우리가 사용하는 말은 아니니\ 어렵게 느껴질 수 있겠구나.,,,1,,,
111,Day1_Oriental,,,다른 편지에도 네가 모르는 단어가 나올 수 있겠지.,,,1,,,
112,Day1_Oriental,10,주인공,모르는 게 있을 때마다 마녀님께 여쭤봐도 되나요?,Child_A,,1,,,
113,Day1_Oriental,11,마녀,후후\ 그것도 좋은 생각이지만\ 되도록 혼자 추측해보렴.,Witch_Idle,,1,,,
114,Day1_Oriental,,,마녀에게는 무언가를 추측하는 능력도 굉장히 중요하단다.,,,1,,,
115,Day1_Oriental,12,주인공,노력해볼게요! 그래도 모르는 게 있으면 알려주실 거죠?,Child_D,,1,,,
116,Day1_Oriental,13,마녀,후후… 나도 노력해보마.,Witch_Idle,,1,,,
117,Day1_Oriental,,,자\ 그럼 우리 숙녀님. 편지의 주인을 위해 무엇을 만들어줄 거니?,,,1,,,
118,Day1_Oriental,14,주인공,으음\ 그러니까….,Child_B,,1,Day1_Oriental_Choice,,
119,Day1_Western,1,마녀,이건 ⓞ별이 지지 않는 제국ⓑ에서 온 편지란다.,Witch_Idle,,1,,,
120,Day1_Western,2,주인공,앗\ 그럼 항상 별이 떠 있는 건가요?,Child_A,,1,,,
121,Day1_Western,3,마녀,후후\ 그건 아니란다. 이 별은 용사를 의미하는 것일 테니 말이야.,Witch_Idle,,1,,,
122,Day1_Western,4,주인공,악당을 물리치는 용사 말이에요? 우와\ 대단해요!,Child_A,,1,,,
123,Day1_Western,5,마녀,뭐\ 대단한 곳이긴 하지….,Witch_Idle,,1,,,
124,Day1_Western,,,자\ 그럼 편지를 읽어보자꾸나.,,,1,,,용사로 선발된 이가 동료들과 친해지기 위한 조언을 구하고 있다. 어떤 말을 해줘야 할까?
125,Day1_Western,6,검사,안녕하십니까. 용사 사관학교 1027기 졸업생입니다.,,,1,,Letter,
126,Day1_Western,,,최근 마왕이 발호하며 490대 용사로 선발되었는데\ 함께 선발된 이들은 얼굴조차 모르는 사이입니다. ,,,1,,,
127,Day1_Western,,,마왕에게 맞서려면 모두가 친해지는 것이 우선이라 생각합니다.,,,1,,,
128,Day1_Western,,,어떻게 해야 그들과 친해질 수 있을지\ 조언을 구하고 싶습니다.,,,1,,,
129,Day1_Western,7,주인공,용사님이 친구를 만들고 싶은가 봐요!,Child_A,,1,,ContextUp,
130,Day1_Western,8,람,친구\ 좋다! 우리는 모두 친구!,,,1,,,
131,Day1_Western,9,마녀,후후\ 그리 보이는구나. 친구를 원하는 용사에게 조언해주렴.,Witch_Idle,,1,,,
132,Day1_Western,10,주인공,으음\ 어떤 조언이 좋을까요?,Child_B,,1,,,
133,Day1_Western,11,마녀,네가 생각하는 것을 솔직하게 말하면 된단다.,Witch_Idle,,1,,,
134,Day1_Western,,,친구를 사귀려면 어떻게 해야 한다고 생각하니?,,,1,,,
135,Day1_Animal,1,주인공,이건 어디에서 온 편지인가요?,Child_A,,1,Day1_Western_Choice,,
136,Day1_Animal,2,마녀,ⓞ함께 사는 우리 마을ⓑ에서 온 편지란다. 인간 대신 동물들이 사는 곳이지.,Witch_Idle,,1,,,
137,Day1_Animal,3,주인공,우와\ 동물들이 산다니 너무 멋진 곳이에요!,Child_A,,1,,,
138,Day1_Animal,,,이 편지도 그런 동물들이 쓴 건가요?,,,1,,,
139,Day1_Animal,4,마녀,후후\ 그렇단다. 한 번 읽어보겠니?,Witch_Idle,,1,,,개 부부가 입양한 고양이의 야행성에 골머리를 앓고 있다. 적절한 물약을 만들어 주자.
140,Day1_Animal,5,도그 부부,안녕하세요\ 마녀님. 저희는 한적한 마을에 사는 부부예요.,,,1,,Letter,
141,Day1_Animal,,,아이를 갖지 못하던 중 길가에 버려진 아이를 발견해 데려왔답니다. 그 아이가 고양이인 줄은 모르고 말이죠.,,,1,,,
142,Day1_Animal,,,저희는 개여서 고양이의 습성을 몰라요. 아이가 밤에 주로 활동한다는 것도 몰랐고요.,,,1,,,
143,Day1_Animal,,,번갈아 양육하고는 있지만\ 밤에 깨어있는 게 너무 힘들어요.,,,1,,,
144,Day1_Animal,,,이 문제를 해결할 만한 물약이 있을까요?,,,1,,,
145,Day1_Animal,6,주인공,앗\ 어떡하죠? 저도 육아하는 법은 모르는데…!,Child_B,,1,,ContextUp,
146,Day1_Animal,7,마녀,후후\ 그렇지. 아이가 아이를 어찌 키우겠니.,Witch_Idle,,1,,,
147,Day1_Animal,8,주인공,저는 아이가 아니에요! 저도 다 컸는걸요!,Child_D,,1,,,
148,Day1_Animal,9,마녀,그래\ 그래. 이젠 숙녀님이지.,Witch_Idle,,1,,,
149,Day1_Animal,,,우리 숙녀님\ 편지에 답장할 땐 육아하는 법 정도는 몰라도 된단다.,,,1,,,
150,Day1_Animal,,,이 부부가 원하는 것이 너무 명확하잖니.,,,1,,,
151,Day1_Animal,10,주인공,앗\ 그런가요? …그렇네요! 물약을 만드는 것!,Child_B,,1,,,
152,Day1_Animal,11,마녀,그래\ 그렇지. 어떤 물약을 만들어야 이 문제를 해결할 수 있을까?,Witch_Idle,,1,Day1_Animal_Choice,,
153,Day1_Future,1,주인공,우와\ 이 편지는 되게 까맣네요!,Child_A,,1,,,
154,Day1_Future,2,마녀,으음? 그렇구나. 이건 ⓞ미래를 개척하는 첨단 도시ⓑ에서 온 편지란다.,Witch_Idle,,1,,,
155,Day1_Future,3,주인공,미래를 개척하는… 네?,Child_B,,1,,,
156,Day1_Future,4,마녀,미래를 개척하는 첨단 도시. 이름이 조금 길지?,Witch_Idle,,1,,,
157,Day1_Future,,,허황된 미래를 꿈꾸는 자들이 모여 사는 곳이란다.,,,1,,,
158,Day1_Future,,,운이 좋으면 비슷한 미래가 만들어지기도 하지만\ 글쎄… 항상 그렇지만은 않으니 말이다.,,,1,,,
159,Day1_Future,,,별로 중요한 건 아니니 넘어가자꾸나.,,,1,,,영양 알약을 만들어낸 과학자는 자신이 부자가 될 것이라 생각한다. 부자가 되면 무엇을 할지 추천하자.
160,Day1_Future,5,영양 분석가,나는 위대한 과학자라네. 때로는 괴짜라 불리기도 하지만\ 그 누구도 내 실력은 의심하지 않지!,,,1,,Letter,
161,Day1_Future,,,그거 아는가? 난 무려 영양 알약을 만들어냈네. 이젠 그 누구도 영양실조를 걱정할 필요가 없어질 테지.,,,1,,,
162,Day1_Future,,,그리고 난 부자가 될 걸세! 부자가 되면 무엇이 좋냐고? 그건 잘 모르겠네.,,,1,,,
163,Day1_Future,,,부자가 되면 무엇을 하는 게 좋다고 생각하는가?,,,1,,,
164,Day1_Future,6,주인공,영양 알약이 뭔가요?,Child_B,,1,,ContextUp,
165,Day1_Future,7,마녀,아\ 결국은 개발에 성공했나 보구나.,Witch_Idle,,1,,,
166,Day1_Future,,,영양 알약은 음식을 대체하기 위해 만들어진 것이란다.,,,1,,,
167,Day1_Future,8,주인공,음식을 대체해요? 왜요?,Child_B,,1,,,
168,Day1_Future,9,마녀,글쎄\ 여러 이유가 있겠지만…. 저 도시는 음식을 못 먹는 자들이 많으니\ 그들을 위한 것이겠지.,Witch_Idle,,1,,,
169,Day1_Future,10,주인공,음식을 못 먹는다고요? 맛있는 음식을 못 먹는다니\ 너무 불쌍해요….,Child_B,,1,,,
170,Day1_Future,11,마녀,그들을 쉬이 동정하지 마렴.,Witch_Idle,,1,,,
171,Day1_Future,12,주인공,하지만….,Child_B,,1,,,
172,Day1_Future,13,마녀,그들이 너의 동정을 바라지 않을 수도 있잖니. 그리고….,Witch_Idle,,1,,,
173,Day1_Future,,,아니\ 아니란다. 지금 중요한 것은 이게 아니지.,,,1,,,
174,Day1_Future,,,숙녀님\ 너는 부자가 되면 무엇을 하고 싶니?,,,1,,,
175,Day1_Future,14,주인공,제가 원하는 건 마녀님과 함께 행복하게 사는 것뿐이에요!,Child_B,,1,,,
176,Day1_Future,15,마녀,후후\ 그건 기쁜 말이지만\ 편지의 답은 될 수 없겠구나.,Witch_Idle,,1,,,
177,Day1_Future,16,주인공,으음\ 그렇다면….,Child_B,,1,Day1_Future_Choice,,
178,Day1_Oriental_Choice1,1,주인공,초콜릿 쿠키요! 초콜릿 쿠키를 싫어하는 사람은 없으니까요!,Child_D,,1,,,
179,Day1_Oriental_Choice1,2,마녀,후후\ 그러렴. 재료는 내가 준비해두마.,Witch_Idle,,1,,,
180,Day1_Oriental_Choice2,1,주인공,사과 파이요! 사과 파이를 먹으면 기분도 상큼해지지 않을까요?,Child_D,,1,,,
181,Day1_Oriental_Choice2,2,마녀,후후\ 좋은 생각이야. 재료는 내가 준비해두마.,Witch_Idle,,1,,,
182,Day1_Oriental_Choice3,1,주인공,딸기 케이크를 만들래요! 예쁘고 맛있는 선물을 받으면 기분도 좋아지겠죠?,Child_D,,1,,,
183,Day1_Oriental_Choice3,2,마녀,후후\ 좋은 생각이구나. 재료는 내가 준비해두마.,Witch_Idle,,1,,,
184,Day1_Western_Choice1,1,주인공,음… 서로에 대해 더 잘 알아야 한다고 생각해요!,Child_B,,1,,,
185,Day1_Western_Choice1,,,그러니까\ 음\ 고향에 대해 얘기하는 건 어떨까요?,,,1,,,
186,Day1_Western_Choice1,2,마녀,그래\ 좋은 생각이구나. 그리 답장하면 되겠어.,Witch_Idle,,1,,,
187,Day1_Western_Choice2,1,주인공,친해질 때는 서로의 공통점을 찾으라고 했어요!,Child_D,,1,,,
188,Day1_Western_Choice2,,,그러니까 취미에 대해 얘기해보는 건 어떨까요?,,,1,,,
189,Day1_Western_Choice2,2,마녀,그래\ 좋은 생각이란다. 그리 답장하면 되겠어.,Witch_Idle,,1,,,
190,Day1_Western_Choice3,1,주인공,으음… 역시 좋아하는 음식에 대해 얘기하는 건 어떨까요?,Child_B,,1,,,
191,Day1_Western_Choice3,,,좋아하는 음식이 없을 리는 없으니까요!,,,1,,,
192,Day1_Western_Choice3,2,마녀,나쁘지 않구나. 그리 답장하렴.,Witch_Idle,,1,,,
193,Day1_Animal_Choice1,1,주인공,피로 회복 물약은 어떨까요? 밤에도 깨어있으면 건강이 나빠질 테니까요!,Child_B,,1,,,
194,Day1_Animal_Choice1,2,마녀,후후\ 좋은 생각이구나. 몸이 회복되면 육아하기도 수월하겠지.,Witch_Idle,,1,,,
195,Day1_Animal_Choice1,,,너를 키울 때 자주 썼던 물약이기도 하단다.,,,1,,,
196,Day1_Animal_Choice1,3,주인공,저를 키울 때 썼던 물약이요?,Child_A,,1,,,
197,Day1_Animal_Choice1,4,마녀,그래. 너 역시 제대로 안 자고 돌아다녔거든.,Witch_Idle,,1,,,
198,Day1_Animal_Choice1,,,어찌나 많은 사고를 치는지\ 하루도 조용한 날이 없었단다.,,,1,,,
199,Day1_Animal_Choice1,5,주인공,거짓말이죠! 제가 그럴 리가 없어요!,Child_D,,1,,,
200,Day1_Animal_Choice1,6,마녀,후후… 믿고 싶은 대로 믿으렴.,Witch_Idle,,1,,,
201,Day1_Animal_Choice2,1,주인공,잠이 오게 하는 물약은 어떨까요? 아이가 밤에 자고 낮에 활동하게 만들면 되잖아요!,Child_A,,1,,,
202,Day1_Animal_Choice2,2,마녀,흐음… 아이에게 사용하려면 더 순하게 만들어야겠구나.,Witch_Idle,,1,,,
203,Day1_Animal_Choice2,,,재료는 내가 준비할 테니 걱정 마렴.,,,1,,,
204,Day1_Animal_Choice3,1,주인공,잠이 안 오게 하는 물약은 어떨까요? 밤에 깨어있는 게 힘들다고 했으니까요!,Child_A,,1,,,
205,Day1_Animal_Choice3,2,마녀,후후… 그렇게 생각하는구나. 그래\ 아직 부모의 고충을 모를 때지.,Witch_Idle,,1,,,
206,Day1_Animal_Choice3,3,주인공,앗\ 이 물약이 아닌가요?,Child_B,,1,,,
207,Day1_Animal_Choice3,4,마녀,아니\ 아니야. 네가 그리 생각한다면\ 그 물약으로도 충분하단다.,Witch_Idle,,1,,,
208,Day1_Animal_Choice3,,,재료는 내가 준비해두마.,,,1,,,
209,Day1_Future_Choice1,1,주인공,돈을 다른 사람들에게 나눠주는 게 좋다고 생각해요!,Child_D,,1,,,
210,Day1_Future_Choice1,,,그럼 모두가 행복해지지 않을까요?,,,1,,,
211,Day1_Future_Choice1,2,마녀,그럴 수도 있겠구나. 그래\ 그리 답장을 보내자꾸나.,Witch_Idle,,1,,,
212,Day1_Future_Choice2,1,주인공,집을 예쁘게 꾸며보는 건 어떨까요?,Child_B,,1,,,
213,Day1_Future_Choice2,,,좋아하는 물건으로 집을 가득 채우면 기분이 좋아질 거예요!,Child_D,,1,,,
214,Day1_Future_Choice2,2,마녀,너처럼 말이지.,Witch_Idle,,1,,,
215,Day1_Future_Choice2,3,주인공,히히\ 그렇죠! 저처럼 말이에요.,Child_D,,1,,,
216,Day1_Future_Choice2,4,마녀,어찌나 제 물건을 아끼는지\ 다 낡은 물건도 버리지 않고 모셔두고 살잖니.,Witch_Idle,,1,,,
217,Day1_Future_Choice2,5,주인공,하지만 모두 마녀님이 준 소중한 물건인걸요!,Child_D,,1,,,
